Setpoint,Input,Output,CurrentError,previousSignal,previousError
4000.00,37.00,4001.00,3963.00,7926.00,3963.00
4000.00,1763.00,4000.00,2237.00,-7415.00,2237.00
4000.00,1775.00,3999.00,2225.00,-14150.00,2225.00
4000.00,1787.00,3998.00,2213.00,-20849.00,2213.00
4000.00,1758.00,3997.00,2242.00,-27430.00,2242.00
4000.00,1772.00,3996.00,2228.00,-34184.00,2228.00
4000.00,1820.00,3995.00,2180.00,-40964.00,2180.00
4000.00,1827.00,3994.00,2173.00,-47518.00,2173.00
4000.00,1834.00,3993.00,2166.00,-54051.00,2166.00
4000.00,1836.00,3992.00,2164.00,-60553.00,2164.00
4000.00,1872.00,3991.00,2128.00,-67117.00,2128.00
4000.00,1880.00,3990.00,2120.00,-73517.00,2120.00
4000.00,1844.00,3989.00,2156.00,-79805.00,2156.00
4000.00,1846.00,3988.00,2154.00,-86277.00,2154.00
4000.00,1849.00,3987.00,2151.00,-92745.00,2151.00
4000.00,1849.00,3986.00,2151.00,-99198.00,2151.00
4000.00,1849.00,3985.00,2151.00,-105651.00,2151.00
4000.00,1854.00,3984.00,2146.00,-112114.00,2146.00
4000.00,1848.00,3983.00,2152.00,-118540.00,2152.00
4000.00,1850.00,3982.00,2150.00,-125000.00,2150.00
4000.00,1851.00,3981.00,2149.00,-131452.00,2149.00
4000.00,1851.00,3980.00,2149.00,-137899.00,2149.00
4000.00,1852.00,3979.00,2148.00,-144348.00,2148.00
4000.00,1852.00,3978.00,2148.00,-150792.00,2148.00
4000.00,1852.00,3977.00,2148.00,-157236.00,2148.00
4000.00,1893.00,3976.00,2107.00,-163762.00,2107.00
4000.00,1893.00,3975.00,2107.00,-170083.00,2107.00
4000.00,1853.00,3974.00,2147.00,-176324.00,2147.00
4000.00,1853.00,3973.00,2147.00,-182765.00,2147.00
4000.00,1853.00,3972.00,2147.00,-189206.00,2147.00
4000.00,1854.00,3971.00,2146.00,-195649.00,2146.00
4000.00,1854.00,3970.00,2146.00,-202087.00,2146.00
4000.00,1856.00,3969.00,2144.00,-208529.00,2144.00
4000.00,1853.00,3968.00,2147.00,-214955.00,2147.00
4000.00,1851.00,3967.00,2149.00,-221392.00,2149.00
4000.00,1853.00,3966.00,2147.00,-227843.00,2147.00
4000.00,1854.00,3965.00,2146.00,-234286.00,2146.00
4000.00,1854.00,3964.00,2146.00,-240724.00,2146.00
4000.00,1853.00,3963.00,2147.00,-247160.00,2147.00
4000.00,1851.00,3962.00,2149.00,-253597.00,2149.00
4000.00,1854.00,3961.00,2146.00,-260050.00,2146.00
4000.00,1855.00,3960.00,2145.00,-266490.00,2145.00
4000.00,1852.00,3959.00,2148.00,-272919.00,2148.00
4000.00,1809.00,3958.00,2191.00,-279277.00,2191.00
4000.00,1854.00,3957.00,2146.00,-285940.00,2146.00
4000.00,1853.00,3956.00,2147.00,-292376.00,2147.00
4000.00,1854.00,3955.00,2146.00,-298819.00,2146.00
4000.00,1852.00,3954.00,2148.00,-305253.00,2148.00
4000.00,1854.00,3953.00,2146.00,-311701.00,2146.00
4000.00,1852.00,3952.00,2148.00,-318135.00,2148.00
4000.00,1852.00,3951.00,2148.00,-324579.00,2148.00
4000.00,1853.00,3950.00,2147.00,-331025.00,2147.00
4000.00,1850.00,3949.00,2150.00,-337460.00,2150.00
4000.00,1894.00,3948.00,2106.00,-343998.00,2106.00
4000.00,1850.00,3947.00,2150.00,-350228.00,2150.00
4000.00,1851.00,3946.00,2149.00,-356680.00,2149.00
4000.00,1855.00,3945.00,2145.00,-363135.00,2145.00
4000.00,1852.00,3944.00,2148.00,-369564.00,2148.00
4000.00,1850.00,3943.00,2150.00,-376004.00,2150.00
4000.00,1850.00,3942.00,2150.00,-382454.00,2150.00
4000.00,1893.00,3941.00,2107.00,-388990.00,2107.00
4000.00,1850.00,3940.00,2150.00,-395225.00,2150.00
4000.00,1853.00,3939.00,2147.00,-401681.00,2147.00
4000.00,1852.00,3938.00,2148.00,-408120.00,2148.00
4000.00,1852.00,3937.00,2148.00,-414564.00,2148.00
4000.00,1852.00,3936.00,2148.00,-421008.00,2148.00
4000.00,1893.00,3935.00,2107.00,-427534.00,2107.00
4000.00,1850.00,3934.00,2150.00,-433769.00,2150.00
4000.00,1853.00,3933.00,2147.00,-440225.00,2147.00
4000.00,1852.00,3932.00,2148.00,-446664.00,2148.00
