milliseconds,Setpoint,Input,Output,CurrentError,previousSignal,previousError
2,1000.00,343.00,1314.00,657.00,1314.00,657.00
2,1000.00,344.00,-659.00,656.00,-659.00,656.00
4,1000.00,769.00,-3477.00,231.00,-3477.00,231.00
9,1000.00,820.00,-4272.00,180.00,-4272.00,180.00
13,1000.00,868.00,-4908.00,132.00,-4908.00,132.00
17,1000.00,901.00,-5370.00,99.00,-5370.00,99.00
21,1000.00,930.00,-5725.00,70.00,-5725.00,70.00
26,1000.00,941.00,-5957.00,59.00,-5957.00,59.00
30,1000.00,958.00,-6168.00,42.00,-6168.00,42.00
34,1000.00,965.00,-6308.00,35.00,-6308.00,35.00
38,1000.00,971.00,-6425.00,29.00,-6425.00,29.00
42,1000.00,977.00,-6524.00,23.00,-6524.00,23.00
47,1000.00,986.00,-6611.00,14.00,-6611.00,14.00
51,1000.00,989.00,-6659.00,11.00,-6659.00,11.00
55,1000.00,990.00,-6694.00,10.00,-6694.00,10.00
59,1000.00,997.00,-6738.00,3.00,-6738.00,3.00
63,1000.00,995.00,-6743.00,5.00,-6743.00,5.00
67,1000.00,1005.00,-6778.00,-5.00,-6778.00,-5.00
72,1000.00,997.00,-6747.00,3.00,-6747.00,3.00
76,1000.00,995.00,-6752.00,5.00,-6752.00,5.00
80,1000.00,1001.00,-6779.00,-1.00,-6779.00,-1.00
84,1000.00,1001.00,-6776.00,-1.00,-6776.00,-1.00
88,1000.00,1001.00,-6773.00,-1.00,-6773.00,-1.00
93,1000.00,1001.00,-6770.00,-1.00,-6770.00,-1.00
97,1000.00,999.00,-6763.00,1.00,-6763.00,1.00
101,1000.00,1007.00,-6782.00,-7.00,-6782.00,-7.00
105,1000.00,997.00,-6741.00,3.00,-6741.00,3.00
109,1000.00,1001.00,-6758.00,-1.00,-6758.00,-1.00
114,1000.00,1007.00,-6767.00,-7.00,-6767.00,-7.00
118,1000.00,1003.00,-6738.00,-3.00,-6738.00,-3.00
122,1000.00,1003.00,-6729.00,-3.00,-6729.00,-3.00
127,1000.00,1005.00,-6724.00,-5.00,-6724.00,-5.00
131,1000.00,999.00,-6697.00,1.00,-6697.00,1.00
135,1000.00,1007.00,-6716.00,-7.00,-6716.00,-7.00
