milliseconds,null,Input,null,null,null,(null = no Control)
238777,1000.00,551.00,-57727019.00,449.00,-57727019.00,449.00
238783,1000.00,550.00,-57728364.00,450.00,-57728364.00,450.00
238788,1000.00,549.00,-57729712.00,451.00,-57729712.00,451.00
238794,1000.00,548.00,-57731063.00,452.00,-57731063.00,452.00
238799,1000.00,549.00,-57732421.00,451.00,-57732421.00,451.00
238804,1000.00,551.00,-57733778.00,449.00,-57733778.00,449.00
238810,1000.00,549.00,-57735121.00,451.00,-57735121.00,451.00
238815,1000.00,549.00,-57736474.00,451.00,-57736474.00,451.00
238821,1000.00,547.00,-57737823.00,453.00,-57737823.00,453.00
238826,1000.00,553.00,-57739194.00,447.00,-57739194.00,447.00
238831,1000.00,552.00,-57740533.00,448.00,-57740533.00,448.00
238837,1000.00,548.00,-57741869.00,452.00,-57741869.00,452.00
238842,1000.00,552.00,-57743233.00,448.00,-57743233.00,448.00
238848,1000.00,549.00,-57744571.00,451.00,-57744571.00,451.00
238853,1000.00,551.00,-57745928.00,449.00,-57745928.00,449.00
238858,1000.00,550.00,-57747273.00,450.00,-57747273.00,450.00
238864,1000.00,552.00,-57748627.00,448.00,-57748627.00,448.00
238869,1000.00,551.00,-57749969.00,449.00,-57749969.00,449.00
238875,1000.00,549.00,-57751312.00,451.00,-57751312.00,451.00
238880,1000.00,549.00,-57752665.00,451.00,-57752665.00,451.00
238885,1000.00,551.00,-57754022.00,449.00,-57754022.00,449.00
238891,1000.00,552.00,-57755371.00,448.00,-57755371.00,448.00
238896,1000.00,551.00,-57756713.00,449.00,-57756713.00,449.00
238902,1000.00,552.00,-57758062.00,448.00,-57758062.00,448.00
238907,1000.00,551.00,-57759404.00,449.00,-57759404.00,449.00
238912,1000.00,549.00,-57760747.00,451.00,-57760747.00,451.00
238918,1000.00,551.00,-57762104.00,449.00,-57762104.00,449.00
238923,1000.00,550.00,-57763449.00,450.00,-57763449.00,450.00
238929,1000.00,551.00,-57764801.00,449.00,-57764801.00,449.00
238934,1000.00,552.00,-57766150.00,448.00,-57766150.00,448.00
238939,1000.00,547.00,-57767484.00,453.00,-57767484.00,453.00
238945,1000.00,551.00,-57768851.00,449.00,-57768851.00,449.00
238950,1000.00,551.00,-57770198.00,449.00,-57770198.00,449.00
238956,1000.00,548.00,-57771539.00,452.00,-57771539.00,452.00
238961,1000.00,551.00,-57772901.00,449.00,-57772901.00,449.00
238966,1000.00,551.00,-57774248.00,449.00,-57774248.00,449.00
238972,1000.00,548.00,-57775589.00,452.00,-57775589.00,452.00
238977,1000.00,550.00,-57776949.00,450.00,-57776949.00,450.00
238983,1000.00,550.00,-57778299.00,450.00,-57778299.00,450.00
238988,1000.00,551.00,-57779651.00,449.00,-57779651.00,449.00
238993,1000.00,552.00,-57781000.00,448.00,-57781000.00,448.00
238999,1000.00,550.00,-57782340.00,450.00,-57782340.00,450.00
239004,1000.00,552.00,-57783694.00,448.00,-57783694.00,448.00
239010,1000.00,549.00,-57785032.00,451.00,-57785032.00,451.00
239015,1000.00,549.00,-57786385.00,451.00,-57786385.00,451.00
239020,1000.00,549.00,-57787738.00,451.00,-57787738.00,451.00
239026,1000.00,553.00,-57789099.00,447.00,-57789099.00,447.00
239031,1000.00,551.00,-57790436.00,449.00,-57790436.00,449.00
239037,1000.00,549.00,-57791779.00,451.00,-57791779.00,451.00
239042,1000.00,551.00,-57793136.00,449.00,-57793136.00,449.00
239047,1000.00,552.00,-57794485.00,448.00,-57794485.00,448.00
239053,1000.00,552.00,-57795829.00,448.00,-57795829.00,448.00
239058,1000.00,552.00,-57797173.00,448.00,-57797173.00,448.00
239064,1000.00,549.00,-57798511.00,451.00,-57798511.00,451.00
239069,1000.00,553.00,-57799872.00,447.00,-57799872.00,447.00
239074,1000.00,551.00,-57801209.00,449.00,-57801209.00,449.00
239080,1000.00,550.00,-57802554.00,450.00,-57802554.00,450.00
239085,1000.00,549.00,-57803902.00,451.00,-57803902.00,451.00
239091,1000.00,549.00,-57805255.00,451.00,-57805255.00,451.00
239096,1000.00,551.00,-57806612.00,449.00,-57806612.00,449.00
239101,1000.00,549.00,-57807955.00,451.00,-57807955.00,451.00
239107,1000.00,551.00,-57809312.00,449.00,-57809312.00,449.00
239112,1000.00,548.00,-57810653.00,452.00,-57810653.00,452.00
239118,1000.00,550.00,-57812013.00,450.00,-57812013.00,450.00
